Identifier	Character	Dialogue	Filename	Line Number
splashscreen_0bd11d3b	centered	'Хуяк-хуяк и в продакшн' представляют...	game/code/1day.rpy	3
start_daf67bc9	dp10	Я не собираюсь разговаривать с анонимами!{w} Дайте мне ваш паспорт и паспорт вашей мамы для того, чтобы я вас не счёл анонимом.	game/code/1day.rpy	18
start_39081c07	dp10	Честно говоря я не очень понимаю, что за блоггеры или блогеры.{w} В первый раз об этом слышу, ну нам с ними нам точно не по пути.{w} Если вас волнует оскорбления есть на всё суд там уже во время суда всё решается.	game/code/1day.rpy	20
start_a76077ad	dp10	Я не собираюсь дальше заниматься вопросом о том как и кто зарабатывает и кто от кого не зависим.{w} Я по сути мужик который пришёл в другой паблик и поверил видеозаписи содержащие статистические данные на то что деструктивных блоггеров.	game/code/1day.rpy	22
start_0fccaa60	dp10	По идеи это достаточно серьёзная цифра если она фигурирует на 'витринах' видеохостингов, либо ещё где-то.{w} Так вот. ТЫ СО МНОЙ ИЛИ В КОЛЬСКУЮ СВЕРХГЛУБОКУЮ?	game/code/1day.rpy	24
nottoday_674965a0		ГДЕ Я?!	game/code/1day.rpy	37
nottoday_36e544d6		???	game/code/1day.rpy	39
nottoday_87410673		А, бля, столовка КИТа.{w} Но что это был за сон?{w} И хули я тут вырубился вообще???	game/code/1day.rpy	44
nottoday_2f6885f9	anon	Макароны, сука, спиздили, киты ебанные!	game/code/1day.rpy	45
nottoday_bfae86c0	snkw	Я не поняла!	game/code/1day.rpy	46
nottoday_8ff97d91	snkw	Я не поняла, кто это гадости говорит? Ты, мразь такая?	game/code/1day.rpy	51
nottoday_b488f596	anon	Нет, не я!	game/code/1day.rpy	52
nottoday_bbe8fbb4	snkw	Я слышала, что это ты, киник такой! Говори номер родителей, живо! Или пойдёшь к директору!	game/code/1day.rpy	53
parents_aa19fde3	anon	+79814881337	game/code/1day.rpy	79
parents_3eb4e2e9	anon	+79813371488	game/code/1day.rpy	81
parents_82d9e212	snkw	Хорошо, я сегодня им позвоню, ты будешь отчислен, мразь!	game/code/1day.rpy	82
parents_38f56106	anon	Хорошо, Екатерина Николаевна.	game/code/1day.rpy	83
parents_e770d34b		Пойду в БК, что. Пока она не поняла, что я дал фейковый номер.	game/code/1day.rpy	85
parents_344e34ac		Пойду в БК, всё равно мне дома пизда теперь.	game/code/1day.rpy	87
parents_5f9d6bf7		Да тут очередь пиздец! Сука, ебучая гардеробщица! Откуда такая очередь?	game/code/1day.rpy	91
parents_cbcda7c2	kit	Ебучая гардеробщица.	game/code/1day.rpy	92
parents_29e0707a	kit	Слушай, что-то мне хреново становится...	game/code/1day.rpy	93
parents_7d6d29c3	kit	Да мне что-то тоже.	game/code/1day.rpy	94
parents_07835eb3		Ну наконец-то она пришла. Блять, ещё бошка заболела что-то.	game/code/1day.rpy	95
snkw_df99683a	anon	А можно рассказать синквейн?	game/code/1day.rpy	100
snkw_7d855bd5	snkw	Вообще чтоли страх потерял? Хотя, расскажи, прямо с ходу, на тему Философии! Хе-хе.	game/code/1day.rpy	101
snkw_0c10b415	anon	Эээээээ, щас.	game/code/1day.rpy	102
snkw_fc910ec3	anon	Cложное, правильное, мудрое	game/code/1day.rpy	103
snkw_851656c2	anon	Думать, размышлять, знать	game/code/1day.rpy	104
snkw_28260dad	anon	Философия - есть наука о познании жизни человека.	game/code/1day.rpy	105
snkw_4922f122	anon	Познание.	game/code/1day.rpy	106
snkw_ba7f8d40	snkw	Ну ничего себе ты молодец! На первый раз тебя прощаю. Но с тебя спрошу 80 философов, учти!	game/code/1day.rpy	108
snkw_420e2552	anon	Спасибо, Екатерина Николаевна! До свидания!	game/code/1day.rpy	110
snkw_870a3fbe	snkw	До Свидания!	game/code/1day.rpy	111
snkw_ef64415b		Ебать пронесло. Аж не ожидал, что расскажу с ходу синквейн. Кодить не умею, зато синквейны составляю по-мастерски.	game/code/1day.rpy	113
snkw_547ccdc7		Пойду в БК, что. Делать нечего, на паре она меня спросит про этих философов. А так скажу, что плохо стало.	game/code/1day.rpy	114
snkw_5f9d6bf7		Да тут очередь пиздец! Сука, ебучая гардеробщица! Откуда такая очередь?	game/code/1day.rpy	118
snkw_cbcda7c2	kit	Ебучая гардеробщица.	game/code/1day.rpy	119
snkw_ffaf5606	kit	Чувак, тебе после столовки не хуёво случаем? А то мне да.	game/code/1day.rpy	120
snkw_98e52f39	kit	Да...	game/code/1day.rpy	121
snkw_602d9d23		Ну наконец-то она пришла.	game/code/1day.rpy	122
runbitch_ff672dd7	snkw	Стой, киник!	game/code/1day.rpy	131
runbitch_422762b5		БЛЯТЬ, Я УПАЛ, СУКА, СКОРЕЕ ПОДНИМАТЬСЯ!	game/code/1day.rpy	136
runbitch_d9aaf167	snkw	Попался!	game/code/1day.rpy	140
runbitch_6191af40		Сука, что сейчас будет...	game/code/1day.rpy	141
runbitch_8791f3b9	snkw	Пойдём к директору, мразь такая!	game/code/1day.rpy	142
runbitch_0dcc59ee	snkw	Киник, мразь, залупоглаз, ублюдок, сволочь, тварь. Разве я заслужила такое отношение ко мне с твоей стороны?!	game/code/1day.rpy	143
runbitch_39efffa6	anon	А можно договориться?	game/code/1day.rpy	146
